train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,Train_AverageReturn,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
121,0,121,121,121,91.84444444444445,57.16174150039539,69,15,201,2080,0,2080,2080,2080,757.7778,968.71014,200,0,4450,820001,8159.749776363373,17.190083,82.49441,0,0,800,8.250666,45.935318,0,0,1600,30,820000
65,0,65,65,65,87.68085106382979,49.36193140078816,76,25,201,1370,0,1370,1370,1370,647.0213,756.6497,280,20,2890,830001,8256.860398292542,21.076923,100.93599,0,0,800,7.3792768,34.532608,0,0,810,30,830000
40,6,40,34,46,86.14583333333333,48.423044437941826,81.5,19,201,250,190,250,60,440,669.7917,819.0886,245,0,2930,840001,8356.025489330292,6.25,22.325714,0,0,200,7.7750907,38.285286,0,0,810,30,840000
84,0,84,84,84,89.29787234042553,61.61131247798815,59,9,201,770,0,770,770,770,641.70215,790.6349,150,0,2270,850001,8456.486971855164,9.166667,23.309938,10,0,210,7.186085,31.619265,0,0,410,30,850000
46.5,10.5,46.5,36,57,77.98113207547169,48.75409632176939,75,12,201,175,115,175,60,290,489.43396,590.524,310,0,2490,860001,8554.757561,3.7634408,21.297382,0,0,200,6.276313,28.787045,0,0,800,30,860000
85,0,85,85,85,78.24528301886792,37.300870372958826,88,15,164,410,0,410,410,410,457.3585,393.0392,490,0,1620,870001,8653.355931520462,4.8235292,24.762957,0,0,200,5.845189,23.095993,0,0,410,30,870000
63,10,63,53,73,84.36734693877551,45.015958112629356,80,4,201,90,10,90,80,100,461.83673,441.776,370,0,2020,880001,8752.397629976273,1.4285715,3.4992707,0,0,10,5.4741173,21.6585,0,0,410,30,880000
74.5,56.5,74.5,18,131,90.86956522,49.86312076930647,88.5,16,201,480,470,480,10,950,602.8261,653.4845,440,0,3390,890001,8852.064830303192,6.442953,17.687588,0,0,200,6.633971,36.428932,0,0,1600,30,890000
44.5,6.5,44.5,38,51,90.36956522,54.34045602201484,83.5,16,201,65,55,65,10,120,636.95654,811.7905,180,0,3230,900001,8951.607217788696,1.4606742,3.5317378,0,0,10,7.0483522,33.969532,0,0,810,30,900000
83,45,83,38,128,82.39215686,44.938336152245974,86,13,201,320,240,320,80,560,482.35294,436.12192,400,0,1890,910001,9051.898653745651,3.8554218,6.912765,0,0,50,5.854355,24.023941,0,0,800,30,910000
64,17,64,47,81,93.46666666666667,54.575370920508746,91,15,201,735,235,735,500,970,716.44446,898.9602,270,10,3170,920001,9150.355365514755,11.484375,43.374996,0,0,400,7.6652403,38.872826,0,0,810,30,920000
75.5,21.5,75.5,54,97,88.85106382978724,49.46908715525939,88,16,189,335,295,335,40,630,715.5319,772.40936,290,0,2620,930001,9248.815099477768,4.437086,6.265194,0,0,50,8.053161,45.451843,0,0,800,30,930000
76,61,76,15,137,75.98148148148148,53.25149649809566,55,11,201,365,335,365,30,700,492.96295,714.39343,165,0,4130,940001,9347.163528680801,4.8026314,7.1607842,0,0,50,6.4879355,35.943092,0,0,1600,30,940000
78,0,78,78,78,77.88679245283019,43.37796170187984,66,17,201,290,0,290,290,290,618.1132,650.7124,230,0,1960,950001,9446.487481355667,3.7179487,5.572132,0,0,20,7.9360466,40.864613,0,0,810,30,950000
84,0,84,84,84,80.75,39.08121474767444,80.5,17,188,20,0,20,20,20,594.03845,668.3253,270,0,2240,960001,9544.956140995026,0.23809524,1.5245533,0,0,10,7.3565135,41.261536,0,0,810,30,960000
136,0,136,136,136,87.60416666666667,54.188613342400835,56.5,17,201,2360,0,2360,2360,2360,666.25,777.0018,185,0,2300,970001,9642.760506629944,17.352942,79.4858,5,0,800,7.605232,36.16643,0,0,800,30,970000
78,33,78,45,111,84.24,46.72410940831296,81.5,14,194,605,185,605,420,790,629,666.74207,455,0,2520,980001,9742.073412656784,7.75641,23.330778,0,0,210,7.4667616,36.16423,0,0,810,30,980000
99,0,99,99,99,80.47058823529412,44.66711425346852,60,15,200,1470,0,1470,1470,1470,493.33334,642.46063,170,0,3080,990001,9842.615082025528,14.848485,80.15595,10,0,800,6.1306043,28.493502,0,0,800,30,990000
49,13,49,36,62,82.37254901960785,44.26566889274472,62,26,189,95,5,95,90,100,394.90195,376.00256,210,10,1440,1000001,9943.322902441025,1.9387755,3.9533408,0,0,10,4.7940965,16.984295,0,0,400,30,1000000
